ticker,sector
SU,Energy
APA,Energy
TS,Energy
VLO,Energy
EPD,Energy
TTE,Energy
LNG,Energy
HAL,Energy
OKE,Energy
PBR,Energy
ET,Energy
CVE,Energy
CNQ,Energy
WES,Energy
CTRA,Energy
EQT,Energy
WMB,Energy
XOM,Energy
KMI,Energy
EQNR,Energy
TRP,Energy
EXE,Energy
MPLX,Energy
PBA,Energy
ENB,Energy
RRC,Energy
PAA,Energy
TRGP,Energy
AR,Energy
AM,Energy
FRO,Energy
SLM,Financials
HOOD,Financials
TOST,Financials
NDAQ,Financials
BULL,Financials
XYZ,Financials
MTG,Financials
CRBG,Financials
ITUB,Financials
MA,Financials
TW,Financials
BN,Financials
BNS,Financials
BX,Financials
CB,Financials
TPG,Financials
FIS,Financials
RITM,Financials
WAL,Financials
GPN,Financials
ICE,Financials
LNSTY,Financials
AXP,Financials
SPGI,Financials
CG,Financials
V,Financials
CHYM,Financials
KKR,Financials
AJG,Financials
ARES,Financials
ALL,Financials
FI,Financials
JHG,Financials
HDB,Financials
BEN,Financials
COLB,Financials
SYF,Financials
OBDC,Financials
JEF,Financials
FAF,Financials
BRO,Financials
ORI,Financials
HSBC,Financials
WBS,Financials
FLG,Financials
BXSL,Financials
RY,Financials
NLY,Financials
BRK-B,Financials
GS,Financials
PYPL,Financials
IVZ,Financials
HIG,Financials
KEY,Financials
MUFG,Financials
CM,Financials
AGNC,Financials
PNFP,Financials
ARCC,Financials
STT,Financials
STWD,Financials
SCHW,Financials
UBS,Financials
USB,Financials
PNC,Financials
FHN,Financials
BCS,Financials
BAC,Financials
MFG,Financials
SAN,Financials
BAM,Financials
COIN,Financials
COF,Financials
MMC,Financials
FNF,Financials
TFC,Financials
XP,Financials
BBVA,Financials
PGR,Financials
FNB,Financials
TRV,Financials
RYAN,Financials
FUTU,Financials
SNV,Financials
PRU,Financials
AON,Financials
MS,Financials
TROW,Financials
RKT,Financials
NTRS,Financials
TD,Financials
ACGL,Financials
CME,Financials
UNM,Financials
OWL,Financials
LNC,Financials
SMFG,Financials
WRB,Financials
VLY,Financials
AUB,Financials
CFG,Financials
HBAN,Financials
NWG,Financials
WFC,Financials
EQH,Financials
AIG,Financials
ZION,Financials
IBN,Financials
ALLY,Financials
DB,Financials
MFC,Financials
AFL,Financials
JPM,Financials
RF,Financials
NU,Financials
FOUR,Financials
IBKR,Financials
MET,Financials
C,Financials
FITB,Financials
PFG,Financials
BK,Financials
CADE,Financials
AEG,Financials
ING,Financials
ONB,Financials
APO,Financials
UPST,Financials
CMA,Financials
AFRM,Financials
SOFI,Financials
GLXY,Financials
MRNA,Health Care
AVTR,Health Care
ILMN,Health Care
CYTK,Health Care
MOH,Health Care
PFE,Health Care
EXAS,Health Care
TECH,Health Care
INCY,Health Care
GH,Health Care
RVTY,Health Care
BMRN,Health Care
ALGN,Health Care
NTRA,Health Care
HOLX,Health Care
BMY,Health Care
GILD,Health Care
NVS,Health Care
GMAB,Health Care
A,Health Care
MRK,Health Care
TEM,Health Care
BIIB,Health Care
BBIO,Health Care
DHR,Health Care
COO,Health Care
WAY,Health Care
TMO,Health Care
CNC,Health Care
ROIV,Health Care
ABVX,Health Care
AMGN,Health Care
LEGN,Health Care
VTRS,Health Care
BAX,Health Care
BDX,Health Care
GEHC,Health Care
AZN,Health Care
IQV,Health Care
ALC,Health Care
QGEN,Health Care
RMD,Health Care
ZTS,Health Care
GRFS,Health Care
GSK,Health Care
TAK,Health Care
BSX,Health Care
GMED,Health Care
SYK,Health Care
IONS,Health Care
ISRG,Health Care
ELAN,Health Care
SNY,Health Care
ZBH,Health Care
VEEV,Health Care
CI,Health Care
ELV,Health Care
RPRX,Health Care
TGTX,Health Care
ABBV,Health Care
HUM,Health Care
HALO,Health Care
HSIC,Health Care
VRTX,Health Care
HLN,Health Care
ALNY,Health Care
EW,Health Care
RDY,Health Care
UNH,Health Care
DGX,Health Care
THC,Health Care
JNJ,Health Care
MDT,Health Care
CAH,Health Care
LLY,Health Care
COR,Health Care
ICLR,Health Care
VRNA,Health Care
INSM,Health Care
HQY,Health Care
TEVA,Health Care
EXEL,Health Care
DXCM,Health Care
CVS,Health Care
HCA,Health Care
CRSP,Health Care
RVMD,Health Care
ABT,Health Care
NVO,Health Care
DOCS,Health Care
SMMT,Health Care
HIMS,Health Care
RNA,Health Care
RGC,Health Care
FERG,Industrials
TT,Industrials
XPO,Industrials
ODFL,Industrials
KNX,Industrials
TREX,Industrials
DOV,Industrials
IR,Industrials
BLDR,Industrials
UAL,Industrials
ERJ,Industrials
JBHT,Industrials
SWK,Industrials
FBIN,Industrials
SYM,Industrials
AOS,Industrials
QXO,Industrials
MAS,Industrials
APG,Industrials
GFL,Industrials
RYAAY,Industrials
G,Industrials
GNRC,Industrials
BA,Industrials
PWR,Industrials
HON,Industrials
WAB,Industrials
EMR,Industrials
GTES,Industrials
RSG,Industrials
CNM,Industrials
EFX,Industrials
ADP,Industrials
VRSK,Industrials
AER,Industrials
ROL,Industrials
PNR,Industrials
ZTO,Industrials
FTV,Industrials
GEV,Industrials
TRU,Industrials
DE,Industrials
ZWS,Industrials
YMM,Industrials
EXLS,Industrials
TXT,Industrials
NXT,Industrials
WCN,Industrials
CSX,Industrials
RTX,Industrials
AME,Industrials
GD,Industrials
CTAS,Industrials
BWXT,Industrials
GXO,Industrials
CPRT,Industrials
CARR,Industrials
MMM,Industrials
SSNC,Industrials
NVT,Industrials
CAR,Industrials
DAL,Industrials
CP,Industrials
ALK,Industrials
FLR,Industrials
LTM,Industrials
FLS,Industrials
SARO,Industrials
WM,Industrials
VRT,Industrials
CNI,Industrials
UNP,Industrials
LHX,Industrials
AMTM,Industrials
OTIS,Industrials
UPS,Industrials
AAON,Industrials
GTLS,Industrials
AAL,Industrials
TRI,Industrials
JCI,Industrials
PAYX,Industrials
LUV,Industrials
KBR,Industrials
XYL,Industrials
TTEK,Industrials
BZ,Industrials
AL,Industrials
VLTO,Industrials
BE,Industrials
DAY,Industrials
RYCEY,Industrials
CAT,Industrials
GE,Industrials
LMT,Industrials
EXPD,Industrials
ATI,Industrials
FAST,Industrials
NSC,Industrials
FDX,Industrials
RELX,Industrials
AVAV,Industrials
PCAR,Industrials
BAH,Industrials
KRMN,Industrials
HWM,Industrials
CHRW,Industrials
FTAI,Industrials
DRS,Industrials
UBER,Industrials
ETN,Industrials
LYFT,Industrials
KTOS,Industrials
JOBY,Industrials
ACHR,Industrials
REZI,Industrials
GRAB,Industrials
RKLB,Industrials
ANET,Information Technology
CRCL,Information Technology
ORCL,Information Technology
ABTC,Information Technology
RBRK,Information Technology
CDNS,Information Technology
SOUN,Information Technology
AKAM,Information Technology
SNPS,Information Technology
RMBS,Information Technology
TER,Information Technology
ARM,Information Technology
PATH,Information Technology
LSCC,Information Technology
KD,Information Technology
TRMB,Information Technology
GDDY,Information Technology
NTNX,Information Technology
ACN,Information Technology
INTU,Information Technology
INTC,Information Technology
NXPI,Information Technology
CTSH,Information Technology
KVYO,Information Technology
DDOG,Information Technology
GEN,Information Technology
OKTA,Information Technology
VRNS,Information Technology
CSCO,Information Technology
ESTC,Information Technology
ADSK,Information Technology
PONY,Information Technology
CLS,Information Technology
ERIC,Information Technology
GFS,Information Technology
ON,Information Technology
SNOW,Information Technology
FTNT,Information Technology
NET,Information Technology
ALAB,Information Technology
CWAN,Information Technology
WDAY,Information Technology
CRM,Information Technology
PCOR,Information Technology
IBM,Information Technology
AMAT,Information Technology
HPQ,Information Technology
BILL,Information Technology
CGNX,Information Technology
ADI,Information Technology
TEL,Information Technology
ZS,Information Technology
SHOP,Information Technology
LITE,Information Technology
IOT,Information Technology
CFLT,Information Technology
TEAM,Information Technology
CYBR,Information Technology
PANW,Information Technology
SMTC,Information Technology
NOW,Information Technology
QRVO,Information Technology
BSY,Information Technology
TXN,Information Technology
PTC,Information Technology
S,Information Technology
CIEN,Information Technology
STM,Information Technology
ZM,Information Technology
NTAP,Information Technology
CDW,Information Technology
FSLR,Information Technology
MKSI,Information Technology
FLEX,Information Technology
GDS,Information Technology
APH,Information Technology
CRWV,Information Technology
INFY,Information Technology
MDB,Information Technology
ALGM,Information Technology
ASX,Information Technology
HPE,Information Technology
COHR,Information Technology
MCHP,Information Technology
STX,Information Technology
SAP,Information Technology
ADBE,Information Technology
SWKS,Information Technology
DELL,Information Technology
TWLO,Information Technology
PSTG,Information Technology
UMC,Information Technology
INFA,Information Technology
JBL,Information Technology
DT,Information Technology
DOCU,Information Technology
PEGA,Information Technology
DBX,Information Technology
AVGO,Information Technology
MNDY,Information Technology
FROG,Information Technology
TSM,Information Technology
QCOM,Information Technology
AMKR,Information Technology
U,Information Technology
NVDA,Information Technology
CCCS,Information Technology
CRWD,Information Technology
GTLB,Information Technology
MRVL,Information Technology
LRCX,Information Technology
ASML,Information Technology
OTEX,Information Technology
WIX,Information Technology
NBIS,Information Technology
RIOT,Information Technology
WDC,Information Technology
MSTR,Information Technology
CRDO,Information Technology
AAPL,Information Technology
MSFT,Information Technology
AUR,Information Technology
AMD,Information Technology
APP,Information Technology
GLW,Information Technology
SNDK,Information Technology
SMCI,Information Technology
ONTO,Information Technology
IT,Information Technology
MIR,Information Technology
IREN,Information Technology
SAIL,Information Technology
MARA,Information Technology
PLTR,Information Technology
MU,Information Technology
ENTG,Information Technology
QBTS,Information Technology
RGTI,Information Technology
BMNR,Information Technology
IONQ,Information Technology
EQX,Materials
SW,Materials
FCX,Materials
STLD,Materials
SHW,Materials
HMY,Materials
AXTA,Materials
NUE,Materials
WLK,Materials
GPK,Materials
SQM,Materials
B,Materials
CCK,Materials
IP,Materials
CX,Materials
SUZ,Materials
EMN,Materials
IFF,Materials
AMRZ,Materials
PPG,Materials
CRH,Materials
CLF,Materials
DD,Materials
MT,Materials
ECL,Materials
WPM,Materials
AMCR,Materials
CF,Materials
NEM,Materials
LYB,Materials
PAAS,Materials
AEM,Materials
NTR,Materials
HBM,Materials
BHP,Materials
SBSW,Materials
RIO,Materials
NGD,Materials
ESI,Materials
JHX,Materials
MOS,Materials
GFI,Materials
DOW,Materials
KGC,Materials
BALL,Materials
AGI,Materials
VALE,Materials
HL,Materials
TECK,Materials
MP,Materials
IAG,Materials
CDE,Materials
SCCO,Materials
AU,Materials
EGO,Materials
AG,Materials
CTVA,Materials
ALB,Materials
AA,Materials
OPEN,Real Estate
WY,Real Estate
IRM,Real Estate
Z,Real Estate
LINE,Real Estate
AMH,Real Estate
UDR,Real Estate
INVH,Real Estate
REG,Real Estate
CBRE,Real Estate
CUBE,Real Estate
SUI,Real Estate
ADC,Real Estate
FR,Real Estate
EXR,Real Estate
SPG,Real Estate
AMT,Real Estate
GLPI,Real Estate
EQR,Real Estate
DLR,Real Estate
NNN,Real Estate
MRP,Real Estate
EPRT,Real Estate
STAG,Real Estate
HST,Real Estate
BEKE,Real Estate
REXR,Real Estate
BRX,Real Estate
DOC,Real Estate
KIM,Real Estate
CSGP,Real Estate
CCI,Real Estate
AHR,Real Estate
ELS,Real Estate
OHI,Real Estate
CTRE,Real Estate
VICI,Real Estate
HR,Real Estate
ARE,Real Estate
WPC,Real Estate
WELL,Real Estate
VTR,Real Estate
O,Real Estate
PLD,Real Estate
KRC,Real Estate
BXP,Real Estate
VNO,Real Estate
PCG,Utilities
SBS,Utilities
NI,Utilities
EXC,Utilities
AWK,Utilities
PNW,Utilities
UGI,Utilities
TXNM,Utilities
ED,Utilities
DUK,Utilities
EIX,Utilities
CNP,Utilities
CMS,Utilities
DTE,Utilities
D,Utilities
SO,Utilities
WTRG,Utilities
AES,Utilities
EVRG,Utilities
LNT,Utilities
TLN,Utilities
NEE,Utilities
EBR,Utilities
AEE,Utilities
ETR,Utilities
FE,Utilities
PPL,Utilities
SRE,Utilities
OGE,Utilities
AEP,Utilities
XEL,Utilities
WEC,Utilities
PEG,Utilities
ES,Utilities
CEG,Utilities
VST,Utilities
OKLO,Utilities
NRG,Utilities
